event_id,event_time,settled_time,sportsbook,market,selection,odds,won,rating_diff,rest_diff
G0000,2022-01-01 00:00:00+00:00,2022-01-01 03:00:00+00:00,samplebook,moneyline,home,1.5118,0,0.30471707975443135,1
G0000,2022-01-01 00:00:00+00:00,2022-01-01 03:00:00+00:00,samplebook,moneyline,away,2.6072,1,-0.30471707975443135,-1
G0001,2022-01-02 00:00:00+00:00,2022-01-02 03:00:00+00:00,samplebook,moneyline,home,4.8914,0,-1.9510351886538364,0
G0001,2022-01-02 00:00:00+00:00,2022-01-02 03:00:00+00:00,samplebook,moneyline,away,1.1897,1,1.9510351886538364,0
G0002,2022-01-03 00:00:00+00:00,2022-01-03 03:00:00+00:00,samplebook,moneyline,home,1.9381,0,-0.3162425923435822,0
G0002,2022-01-03 00:00:00+00:00,2022-01-03 03:00:00+00:00,samplebook,moneyline,away,1.8902,1,0.3162425923435822,0
G0003,2022-01-04 00:00:00+00:00,2022-01-04 03:00:00+00:00,samplebook,moneyline,home,1.4663,0,0.7777919354289483,-3
G0003,2022-01-04 00:00:00+00:00,2022-01-04 03:00:00+00:00,samplebook,moneyline,away,2.7549,1,-0.7777919354289483,3
G0004,2022-01-05 00:00:00+00:00,2022-01-05 03:00:00+00:00,samplebook,moneyline,home,1.8081,1,0.4675093422520456,0
G0004,2022-01-05 00:00:00+00:00,2022-01-05 03:00:00+00:00,samplebook,moneyline,away,2.0327,0,-0.4675093422520456,0
G0005,2022-01-06 00:00:00+00:00,2022-01-06 03:00:00+00:00,samplebook,moneyline,home,1.5659,0,0.8784503013072725,-2
G0005,2022-01-06 00:00:00+00:00,2022-01-06 03:00:00+00:00,samplebook,moneyline,away,2.4606,1,-0.8784503013072725,2
G0006,2022-01-07 00:00:00+00:00,2022-01-07 03:00:00+00:00,samplebook,moneyline,home,3.2442,0,-0.6809295444039414,-3
G0006,2022-01-07 00:00:00+00:00,2022-01-07 03:00:00+00:00,samplebook,moneyline,away,1.3573,1,0.6809295444039414,3
G0007,2022-01-08 00:00:00+00:00,2022-01-08 03:00:00+00:00,samplebook,moneyline,home,1.8549,1,-0.3521335504882296,3
G0007,2022-01-08 00:00:00+00:00,2022-01-08 03:00:00+00:00,samplebook,moneyline,away,1.9767,0,0.3521335504882296,-3
G0008,2022-01-09 00:00:00+00:00,2022-01-09 03:00:00+00:00,samplebook,moneyline,home,1.6195,0,0.4127326115959884,2
G0008,2022-01-09 00:00:00+00:00,2022-01-09 03:00:00+00:00,samplebook,moneyline,away,2.3391,1,-0.4127326115959884,-2
G0009,2022-01-10 00:00:00+00:00,2022-01-10 03:00:00+00:00,samplebook,moneyline,home,2.0736,1,-0.5122427290715373,1
